ID,FULL_NAME,FIRST_NAME,LAST_NAME,CALLING_NBR,CALLED_NBR,START_DATE,END_DATE,DURATION,CELL_SITE,CITY,STATE,ADDRESS_CELL_SITE
0,Alec Fuentes,Alec,Fuentes,1-123-324-4248,1-791-301-2705,1585040660,1585041059,3867,88,Cap-Saint-Ignace,QC,2518 Et Av.
1,Tiger Holmes,Tiger,Holmes,1-367-597-1080,1-670-903-0684,1556355660,1580673072,2854,12,Penticton,BC,"P.O. Box 363, 6007 Suspendisse Ave"
2,Claire Joyner,Claire,Joyner,1-791-301-2705,1-445-728-6303,1557119719,1570636179,3452,147,Amqui,Quebec,750-2007 Faucibus Rd.
3,Colby Valdez,Colby,Valdez,1-482-462-8789,1-389-766-9288,1555981175,1587477368,9050,37,Saint-Hilarion,Quebec,614 Metus. St.
4,Tarik Mullen,Tarik,Mullen,1-303-324-3702,1-456-546-1018,1579991319,1583028711,3732,86,East Gwillimbury,Ontario,Ap #753-8045 Volutpat Av.
5,Charles Osborne,Charles,Osborne,1-110-178-9918,1-587-972-1708,1555436361,1557077925,7633,85,Springdale,NL,Ap #235-1866 Egestas Road
6,Daquan Peck,Daquan,Peck,1-253-660-2492,1-945-877-1492,1589257615,1548457455,2687,83,Gibsons,BC,"P.O. Box 548, 1775 Lectus. St."
7,Dane Oneil,Dane,Oneil,1-220-254-2537,1-191-371-4121,1549292056,1556551657,6015,197,Westlock,Alberta,2261 Parturient Av.
8,Neville Stein,Neville,Stein,1-865-881-2985,1-125-737-1240,1580319880,1555538842,724,103,Owen Sound,ON,Ap #561-1222 Sem Rd.
9,Hasad Raymond,Hasad,Raymond,1-967-829-6923,1-743-403-3743,1589596890,1546918517,7591,177,East Gwillimbury,ON,"P.O. Box 497, 113 Eu, St."
10,Aquila Marquez,Aquila,Marquez,1-323-722-0065,1-252-300-6558,1579061046,1555718496,2702,21,Aylmer,Quebec,728-9285 Vivamus Rd.
11,Jennifer Watts,Jennifer,Watts,1-282-899-3501,1-425-974-1248,1567926341,1568056443,1114,69,Richmond,QC,541-1147 Placerat. Ave
12,Price Williams,Price,Williams,1-100-309-2105,1-280-127-9379,1570906613,1586358428,9786,169,Bon Accord,Alberta,107-2541 Faucibus Rd.
13,Vivian Calderon,Vivian,Calderon,1-444-156-1838,1-567-116-6300,1546836821,1553676467,3202,156,Beaconsfield,Quebec,"P.O. Box 565, 2572 Sed Av."
14,Sage Justice,Sage,Justice,1-609-248-5902,1-134-194-2078,1567428881,1559688358,6556,154,Barrhead,AB,Ap #257-5174 Massa. Ave
15,Wynne Olsen,Wynne,Olsen,1-630-797-8797,1-237-473-4997,1583843009,1548657924,5308,176,Port Hope,Ontario,"P.O. Box 526, 5969 Vitae Ave"
16,Jesse Sloan,Jesse,Sloan,1-309-143-7853,1-992-639-8378,1553611045,1584427333,8844,61,Kirkland,QC,3429 Ligula. Road
